true_LiPF6,true_EMC,true_EC,pred_LiPF6,pred_EMC,pred_EC,rmse_LiPF6,rmse_EMC,v,sd
0.16035,0.2519,0.58775,0.15760454880435049,0.24692735267548827,0.5954680985201612,0.0027454511956495065,0.0049726473245117475,6.581647623687503e-05,0.00811273543491189
0.06468,0.2806,0.65472,0.0655586858469519,0.2821400035772683,0.6523013105757798,0.0008786858469519016,0.0015400035772683007,1.0228906474367386e-05,0.003198266166904716
0.24891999999999997,0.52576,0.22531999999999996,0.245641772836521,0.5206782374550727,0.2336799897084063,0.003278227163478975,0.005081762544927315,5.505235013288304e-05,0.007419727092884417
0.0669,0.46654999999999996,0.46655,0.06723150986116977,0.4673551742791062,0.465413315859724,0.0003315098611697681,0.0008051742791062577,1.0542049220951349e-05,0.0032468522018951444
0.013869999999999999,0.49307,0.49305999999999994,0.013774745915640096,0.4926583790849577,0.4935668749994022,9.525408435990222e-05,0.0004116209150423211,3.5207346152923038e-06,0.001876362069349171
0.04039,0.47980999999999996,0.4798,0.03979829255167999,0.4789361602767883,0.4812655471715317,0.0005917074483200099,0.0008738397232116446,1.3580736458653869e-05,0.0036852050768788796
0.0,0.5,0.5,0.0003319506908425751,0.500575192725691,0.49909285658346647,0.0003319506908425751,0.0005751927256909539,2.1018805086785366e-05,0.004584627039006048
0.18952,0.40523999999999993,0.40524000000000004,0.193119803427507,0.41006541126838414,0.39681478530410885,0.0035998034275070145,0.004825411268384205,4.5968412768677404e-05,0.006780000941642811
0.09783,0.45108999999999994,0.45108000000000004,0.098969176596853,0.45295352245318554,0.44807730094996145,0.0011391765968530032,0.0018635224531856065,1.276238966913162e-05,0.0035724486937017894
0.01394,0.9860599999999999,1.1102230246251565e-16,0.014075187693820546,0.9869269678198975,-0.0010021555137180727,0.0001351876938205463,0.0008669678198975905,1.249365432289907e-05,0.0035346363777479387
0.013500000000000002,0.29595,0.69055,0.01090041855832169,0.2909653465540032,0.6981342348876751,0.002599581441678312,0.004984653445996801,2.0577367066866385e-06,0.001434481337169166
0.1907,0.24279,0.56651,0.19365007259346,0.24958709893996822,0.5567628284665718,0.0029500725934600014,0.006797098939968216,0.0005685845834414903,0.023845011709820785
0.24904,0.37548,0.37548000000000004,0.2529864117348586,0.3800384811811597,0.36697510708398173,0.003946411734858574,0.0045584811811597015,0.00868064128408131,0.09316995912890222
0.0364,0.67452,0.28908,0.04086229243565498,0.6827002696253572,0.2764374379389878,0.004462292435654977,0.008180269625357228,1.2114756250297463e-05,0.003480625841755684
0.12876,0.43562,0.43562,0.12742177021203815,0.43343227938237305,0.4391459504055888,0.0013382297879618588,0.0021877206176269537,1.1367034743161854e-05,0.0033715033357779515
0.0,0.3,0.7,0.007172193108146985,0.3132663918614753,0.6795614150303777,0.007172193108146985,0.013266391861475324,1.2153972399059125e-05,0.0034862547811453947
0.19654,0.80346,0.0,0.19731217566462078,0.804851672792438,-0.002163848457058748,0.0007721756646207889,0.0013916727924380146,9.746718156664478e-06,0.0031219734394553195
0.03909,0.28827,0.6726399999999999,0.03972299074353458,0.28965249683297145,0.670624512423494,0.0006329907435345811,0.001382496832971425,1.2287217879329175e-05,0.0035053128076291814
0.16218,0.58648,0.25134,0.1627719387050206,0.5875913260283596,0.24963673526661978,0.0005919387050206115,0.001111326028359616,4.386546797621654e-06,0.0020944084600721165
0.12247,0.61427,0.26326000000000005,0.12353488170539606,0.6159368678169699,0.26052825047763406,0.0010648817053960646,0.001666867816969897,9.988202437056928e-06,0.003160411751189539
0.01003,0.69298,0.29699,0.013475919204935849,0.6990882905785156,0.2874357902165485,0.0034459192049358482,0.006108290578515585,6.818346978458032e-06,0.0026111964649290624
0.06277,0.65606,0.28117000000000003,0.06168079185155051,0.6542652927295478,0.2840539154189017,0.001089208148449497,0.0017947072704521672,1.0157750035392466e-05,0.0031871225322212616
0.09262,0.63517,0.27220999999999995,0.09142777006096026,0.6327934785790035,0.27577875136003627,0.0011922299390397378,0.0023765214209965357,1.0006531831432909e-05,0.0031633102648069332
0.13444,0.86556,0.0,0.1308113020225221,0.8592420916913852,0.009946606286092674,0.0036286979774778905,0.006317908308614784,2.2229733772795234e-06,0.001490963908778319
0.04389,0.95611,0.0,0.04490728517435727,0.9578817075480153,-0.002788992722372541,0.0010172851743572714,0.0017717075480152555,1.3456586282580861e-05,0.0036683219982140145
0.07384,0.92616,0.0,0.07296684580037294,0.9241965125024194,0.0028366416972076536,0.0008731541996270659,0.001963487497580574,1.148164313390248e-05,0.003388457338362471
0.16549,0.8345100000000001,0.0,0.16872574079436653,0.8397809000886838,-0.00850664088305031,0.0032357407943665317,0.005270900088683694,7.396579142527398e-06,0.0027196652629556083
0.22135,0.77865,0.0,0.21842741429406942,0.774632877666221,0.006939708039709558,0.0029225857059305693,0.004017122333778933,1.0119550426450166e-05,0.003181124082215305
0.2254,0.54222,0.23238000000000003,0.22537399032968608,0.5428170226569193,0.23180898701339459,2.6009670313908995e-05,0.0005970226569192993,1.1432543812463583e-05,0.0033812044913704323
0.13,0.261,0.609,0.13167402913192916,0.26415426403672093,0.6041717068313499,0.0016740291319291556,0.003154264036720922,2.4005542312564774e-05,0.0048995451128206555
0.0,1.0,0.0,-0.0015035678140273845,0.9956855300069094,0.005818037807117982,0.0015035678140273845,0.004314469993090597,4.452048822339651e-05,0.006672367512614732
0.10413999999999998,0.8958600000000001,0.0,0.10390591432359741,0.895610439972522,0.00048364570388059747,0.00023408567640256783,0.0002495600274781129,1.0114697674439657e-05,0.0031803612490469784
0.21928,0.39036,0.39036000000000004,0.21799128512036847,0.38836782785487856,0.393640887024753,0.0012887148796315306,0.001992172145121429,0.0004123691795595647,0.020306875179592863
0.24616,0.75384,0.0,0.249470130810451,0.755789598309093,-0.005259729119543977,0.0033101308104510063,0.0019495983090930258,2.7552378669709165e-05,0.005249035975272904
0.09734,0.2708,0.6318600000000001,0.09604245012708468,0.26868289405931733,0.635274655813598,0.0012975498729153184,0.002117105940682651,1.4873016783919836e-05,0.0038565550409555725
0.22027999999999998,0.23392,0.5458000000000001,0.21409424192697823,0.22434650502448594,0.5615592530485358,0.006185758073021741,0.009573494975514046,0.011137814112819555,0.10553584278727088
0.0,0.7,0.30000000000000004,-0.004818843068935763,0.6914761241885401,0.31334271888039567,0.004818843068935763,0.008523875811459858,1.2495446156577537e-05,0.0035348898365546748
0.15914,0.42042999999999997,0.4204300000000001,0.15967488854215617,0.420972866694342,0.41935224476350186,0.0005348885421561644,0.0005428666943420035,1.2665139996989755e-05,0.0035588115989737016
0.20188,0.55868,0.2394400000000001,0.201306970653377,0.5575624827912407,0.24113054655538235,0.0005730293466230107,0.0011175172087593,1.0881612497247633e-05,0.003298728921455601
0.24986000000000003,0.22504,0.5251,0.174301800556115,0.16719958652761502,0.65849861291627,0.07555819944388503,0.05784041347238497,0.3590410756652774,0.5992003635390064
