ec,Temp,xLiPF6,xEC,xEMC,d,v,k
0,10,0,0,1,1.0241,0.86,0
0,10,0.01394,0,0.98606,1.0356,0.92,0.06
0,10,0.07384,0,0.92616,1.085,1.34,1.37
0,10,0.13444,0,0.86556,1.1349,2.35,3.83
0,10,0.19654,0,0.80346,1.1861,4.81,5
0,10,0.24616,0,0.75384,1.227,9.09,4.16
0,10,0.04389,0,0.95611,1.0603,1.08,0.36
0,10,0.10414,0,0.89586,1.1099,1.74,2.64
0,10,0.16549,0,0.83451,1.1605,3.31,4.69
0,10,0.22135,0,0.77865,1.2065,6.58,4.79
0.3,10,0,0.3,0.7,1.1121,0.97,0
0.3,10,0.01003,0.29699,0.69298,1.1197,1.2,0.79
0.3,10,0.06277,0.28117,0.65606,1.1598,2.71,5.28
0.3,10,0.12247,0.26326,0.61427,1.2053,5.34,6.51
0.3,10,0.20188,0.23944,0.55868,1.2657,11.32,5.19
0.3,10,0.24892,0.22532,0.52576,1.3015,17,3.64
0.3,10,0.0364,0.28908,0.67452,1.1398,1.88,3.43
0.3,10,0.09262,0.27221,0.63517,1.1826,3.88,6.31
0.3,10,0.16218,0.25135,0.58648,1.2355,7.88,6.05
0.3,10,0.2254,0.23238,0.54222,1.2836,13.91,4.52
0.5,10,0,0.5,0.5,1.1741,1.99,0
0.5,10,0.01387,0.49307,0.49307,1.1847,2.1,1.15
0.5,10,0.0669,0.46655,0.46655,1.2252,2.94,6.03
0.5,10,0.12876,0.43562,0.43562,1.2725,5.81,7.21
0.5,10,0.18952,0.40524,0.40524,1.3189,14.56,4.86
0.5,10,0.24904,0.37548,0.37548,1.3643,40.61,2.41
0.5,10,0.04039,0.47981,0.47981,1.205,2.42,3.93
0.5,10,0.09783,0.45109,0.45109,1.2488,3.97,7.23
0.5,10,0.15914,0.42043,0.42043,1.2957,8.99,6.28
0.5,10,0.21928,0.39036,0.39036,1.3416,24.09,3.43
0.7,10,0,0.7,0.3,1.2434,3.17,0
0.7,10,0.0135,0.69055,0.29595,1.2534,3.22,1.02
0.7,10,0.06468,0.65472,0.2806,1.2916,3.72,5.3
0.7,10,0.13,0.609,0.261,1.3402,6.74,6.28
0.7,10,0.1907,0.56651,0.24279,1.3855,20.99,3.92
0.7,10,0.24986,0.5251,0.22504,1.4295,86.92,1.58
0.7,10,0.03909,0.67264,0.28827,1.2725,3.39,3.46
0.7,10,0.09734,0.63186,0.2708,1.3159,4.62,6.42
0.7,10,0.16035,0.58776,0.2519,1.3628,11.18,5.31
0.7,10,0.22028,0.5458,0.23392,1.4075,41.84,2.55
0,20,0,0,1,1.0122,0.74,0
0,20,0.01394,0,0.98606,1.0237,0.79,0.06
0,20,0.07384,0,0.92616,1.0733,1.15,1.52
0,20,0.13444,0,0.86556,1.1234,1.95,4.39
0,20,0.19654,0,0.80346,1.1748,3.76,5.98
0,20,0.24616,0,0.75384,1.2158,6.71,5.21
0,20,0.04389,0,0.95611,1.0485,0.93,0.39
0,20,0.10414,0,0.89586,1.0983,1.47,2.98
0,20,0.16549,0,0.83451,1.1491,2.67,5.48
0,20,0.22135,0,0.77865,1.1953,5,5.84
0.3,20,0,0.3,0.7,1.1006,0.66,0
0.3,20,0.01003,0.29699,0.69298,1.1083,0.92,0.93
0.3,20,0.06277,0.28117,0.65606,1.1485,2.51,6.25
0.3,20,0.12247,0.26326,0.61427,1.194,4.82,7.94
0.3,20,0.20188,0.23944,0.55868,1.2546,9.02,6.78
0.3,20,0.24892,0.22532,0.52576,1.2905,12.32,5.05
0.3,20,0.0364,0.28908,0.67452,1.1284,1.67,4.02
0.3,20,0.09262,0.27221,0.63517,1.1713,3.58,7.56
0.3,20,0.16218,0.25135,0.58648,1.2243,6.73,7.6
0.3,20,0.2254,0.23238,0.54222,1.2725,10.58,6.06
0.5,20,0,0.5,0.5,1.1631,1.57,0
0.5,20,0.01387,0.49307,0.49307,1.1737,1.69,1.42
0.5,20,0.0669,0.46655,0.46655,1.2142,2.46,7.43
0.5,20,0.12876,0.43562,0.43562,1.2614,4.66,9.09
0.5,20,0.18952,0.40524,0.40524,1.3077,10.25,6.61
0.5,20,0.24904,0.37548,0.37548,1.3532,24.15,3.72
0.5,20,0.04039,0.47981,0.47981,1.1939,1.99,4.85
0.5,20,0.09783,0.45109,0.45109,1.2378,3.3,8.98
0.5,20,0.15914,0.42043,0.42043,1.2846,6.81,8.15
0.5,20,0.21928,0.39036,0.39036,1.3305,15.63,4.99
0.7,20,0,0.7,0.3,1.232,2.15,0
0.7,20,0.0135,0.69055,0.29595,1.2421,2.25,1.33
0.7,20,0.06468,0.65472,0.2806,1.2803,2.97,6.72
0.7,20,0.13,0.609,0.261,1.3291,5.95,8.12
0.7,20,0.1907,0.56651,0.24279,1.3744,15.41,5.68
0.7,20,0.24986,0.5251,0.22504,1.4186,45.24,2.19
0.7,20,0.03909,0.67264,0.28827,1.2612,2.52,4.43
0.7,20,0.09734,0.63186,0.2708,1.3047,4,8.14
0.7,20,0.16035,0.58776,0.2519,1.3518,9.31,7.17
0.7,20,0.22028,0.5458,0.23392,1.3965,26.11,3.96
0,25,0,0,1,1.0061,0.69,0
0,25,0.01394,0,0.98606,1.0177,0.73,0.06
0,25,0.07384,0,0.92616,1.0674,1.07,1.59
0,25,0.13444,0,0.86556,1.1176,1.78,4.66
0,25,0.19654,0,0.80346,1.1691,3.34,6.46
0,25,0.24616,0,0.75384,1.2102,5.83,5.74
0,25,0.04389,0,0.95611,1.0425,0.87,0.41
0,25,0.10414,0,0.89586,1.0925,1.36,3.14
0,25,0.16549,0,0.83451,1.1433,2.41,5.87
0,25,0.22135,0,0.77865,1.1897,4.4,6.38
0.3,25,0,0.3,0.7,1.0948,0.83,0
0.3,25,0.01003,0.29699,0.69298,1.1024,0.99,1
0.3,25,0.06277,0.28117,0.65606,1.1428,2.02,6.79
0.3,25,0.12247,0.26326,0.61427,1.1885,3.67,8.69
0.3,25,0.20188,0.23944,0.55868,1.2493,7.05,7.63
0.3,25,0.24892,0.22532,0.52576,1.2854,10,5.83
0.3,25,0.0364,0.28908,0.67452,1.1226,1.47,4.36
0.3,25,0.09262,0.27221,0.63517,1.1657,2.77,8.24
0.3,25,0.16218,0.25135,0.58648,1.2189,5.15,8.42
0.3,25,0.2254,0.23238,0.54222,1.2674,8.42,6.9
0.5,25,0,0.5,0.5,1.1573,1.44,0
0.5,25,0.01387,0.49307,0.49307,1.1679,1.54,1.56
0.5,25,0.0669,0.46655,0.46655,1.2084,2.23,8.17
0.5,25,0.12876,0.43562,0.43562,1.2556,4.12,10.1
0.5,25,0.18952,0.40524,0.40524,1.3021,8.67,7.56
0.5,25,0.24904,0.37548,0.37548,1.3475,19.42,4.49
0.5,25,0.04039,0.47981,0.47981,1.1881,1.82,5.32
0.5,25,0.09783,0.45109,0.45109,1.232,2.97,9.91
0.5,25,0.15914,0.42043,0.42043,1.2789,5.89,9.15
0.5,25,0.21928,0.39036,0.39036,1.3248,12.89,5.85
0.7,25,0,0.7,0.3,1.2263,1.91,0
0.7,25,0.0135,0.69055,0.29595,1.2364,2.01,1.49
0.7,25,0.06468,0.65472,0.2806,1.2746,2.71,7.46
0.7,25,0.13,0.609,0.261,1.3234,5.33,9.15
0.7,25,0.1907,0.56651,0.24279,1.3688,12.85,6.63
0.7,25,0.24986,0.5251,0.22504,1.413,34.4,2.29
0.7,25,0.03909,0.67264,0.28827,1.2555,2.28,4.92
0.7,25,0.09734,0.63186,0.2708,1.299,3.65,9.07
0.7,25,0.16035,0.58776,0.2519,1.3461,8.09,8.22
0.7,25,0.22028,0.5458,0.23392,1.3909,20.82,4.64
0,30,0,0,1,1.0001,0.64,0
0,30,0.01394,0,0.98606,1.0117,0.68,0.07
0,30,0.07384,0,0.92616,1.0615,0.99,1.66
0,30,0.13444,0,0.86556,1.1118,1.63,4.94
0,30,0.19654,0,0.80346,1.1634,3,6.96
0,30,0.24616,0,0.75384,1.2046,5.12,6.32
0,30,0.04389,0,0.95611,1.0366,0.81,0.42
0,30,0.10414,0,0.89586,1.0866,1.25,3.3
0,30,0.16549,0,0.83451,1.1376,2.19,6.26
0,30,0.22135,0,0.77865,1.184,3.9,6.93
0.3,30,0,0.3,0.7,1.089,0.78,0
0.3,30,0.01003,0.29699,0.69298,1.0967,0.93,1.07
0.3,30,0.06277,0.28117,0.65606,1.1371,1.86,7.29
0.3,30,0.12247,0.26326,0.61427,1.1829,3.3,9.43
0.3,30,0.20188,0.23944,0.55868,1.2438,6.12,8.49
0.3,30,0.24892,0.22532,0.52576,1.2799,8.47,6.62
0.3,30,0.0364,0.28908,0.67452,1.1169,1.36,4.68
0.3,30,0.09262,0.27221,0.63517,1.16,2.53,8.89
0.3,30,0.16218,0.25135,0.58648,1.2134,4.56,9.24
0.3,30,0.2254,0.23238,0.54222,1.2619,7.22,7.75
0.5,30,0,0.5,0.5,1.1512,1.31,0
0.5,30,0.01387,0.49307,0.49307,1.1618,1.42,1.71
0.5,30,0.0669,0.46655,0.46655,1.2024,2.06,8.94
0.5,30,0.12876,0.43562,0.43562,1.2498,3.74,11.15
0.5,30,0.18952,0.40524,0.40524,1.2963,7.58,8.58
0.5,30,0.24904,0.37548,0.37548,1.3419,16.19,5.31
0.5,30,0.04039,0.47981,0.47981,1.1821,1.68,5.82
0.5,30,0.09783,0.45109,0.45109,1.2261,2.72,10.88
0.5,30,0.15914,0.42043,0.42043,1.2731,5.26,10.22
0.5,30,0.21928,0.39036,0.39036,1.3191,11.01,6.79
0.7,30,0,0.7,0.3,1.2199,1.72,0
0.7,30,0.0135,0.69055,0.29595,1.23,1.82,1.64
0.7,30,0.06468,0.65472,0.2806,1.2685,2.47,8.18
0.7,30,0.13,0.609,0.261,1.3177,4.74,10.22
0.7,30,0.1907,0.56651,0.24279,1.3633,10.8,7.7
0.7,30,0.24986,0.5251,0.22504,1.4078,26.97,2.5
0.7,30,0.03909,0.67264,0.28827,1.2493,2.08,5.4
0.7,30,0.09734,0.63186,0.2708,1.2931,3.3,10.01
0.7,30,0.16035,0.58776,0.2519,1.3405,7.01,9.34
0.7,30,0.22028,0.5458,0.23392,1.3856,16.91,5.45
0,40,0,0,1,0.9878,0.57,0
0,40,0.01394,0,0.98606,0.9994,0.61,0.08
0,40,0.07384,0,0.92616,1.0495,0.87,1.78
0,40,0.13444,0,0.86556,1.1001,1.39,5.47
0,40,0.19654,0,0.80346,1.1521,2.46,7.95
0,40,0.24616,0,0.75384,1.1935,4.03,7.48
0,40,0.04389,0,0.95611,1.0244,0.72,0.43
0,40,0.10414,0,0.89586,1.0748,1.09,3.6
0,40,0.16549,0,0.83451,1.1261,1.84,7.04
0,40,0.22135,0,0.77865,1.1728,3.14,8.04
0.3,40,0,0.3,0.7,1.0775,0.88,0
0.3,40,0.01003,0.29699,0.69298,1.0852,0.95,1.22
0.3,40,0.06277,0.28117,0.65606,1.1257,1.4,8.32
0.3,40,0.12247,0.26326,0.61427,1.1717,2.22,10.95
0.3,40,0.20188,0.23944,0.55868,1.2327,4.19,10.32
0.3,40,0.24892,0.22532,0.52576,1.2689,6.15,8.38
0.3,40,0.0364,0.28908,0.67452,1.1055,1.15,5.32
0.3,40,0.09262,0.27221,0.63517,1.1487,1.76,10.21
0.3,40,0.16218,0.25135,0.58648,1.2022,3.05,10.95
0.3,40,0.2254,0.23238,0.54222,1.2508,5.07,9.59
0.5,40,0,0.5,0.5,1.1396,1.13,0
0.5,40,0.01387,0.49307,0.49307,1.1502,1.22,2.24
0.5,40,0.0669,0.46655,0.46655,1.191,1.74,11.1
0.5,40,0.12876,0.43562,0.43562,1.2385,3.05,13.44
0.5,40,0.18952,0.40524,0.40524,1.2852,5.93,10.69
0.5,40,0.24904,0.37548,0.37548,1.3309,12.14,7.21
0.5,40,0.04039,0.47981,0.47981,1.1706,1.44,7.4
0.5,40,0.09783,0.45109,0.45109,1.2147,2.27,13.23
0.5,40,0.15914,0.42043,0.42043,1.2619,4.21,12.39
0.5,40,0.21928,0.39036,0.39036,1.3081,8.44,8.87
0.7,40,0,0.7,0.3,1.2093,1.43,0
0.7,40,0.0135,0.69055,0.29595,1.2195,1.52,1.92
0.7,40,0.06468,0.65472,0.2806,1.2578,2.09,9.76
0.7,40,0.13,0.609,0.261,1.3067,3.83,12.58
0.7,40,0.1907,0.56651,0.24279,1.3522,7.94,9.9
0.7,40,0.24986,0.5251,0.22504,1.3965,17.69,3.42
0.7,40,0.03909,0.67264,0.28827,1.2386,1.75,6.39
0.7,40,0.09734,0.63186,0.2708,1.2823,2.75,12.1
0.7,40,0.16035,0.58776,0.2519,1.3295,5.43,11.74
0.7,40,0.22028,0.5458,0.23392,1.3743,11.76,7.19